;;;;;;;;;;;;;;;;;;;Test Design technique;;;;;;;;;;;;;;;;;;;;;;;;;Testing Practice;;;;;;;;;;;;Testing level;;;;;;Testing Type;;;;;;;;;;;;;;;;;;;
Spain;EU ;Universitat Politecnica de Catalunya;Computer Science;Bachelor;https://www.fib.upc.edu/es/estudios/grados/grado-en-ingenieria-informatica;Software Architecture;3;https://www.fib.upc.edu/es/estudios/grados/grado-en-ingenieria-informatica/plan-de-estudios/asignaturas/AS;CS;6;both;60;30;30;NSt;Exercises,Discussion;Spanish;Test-driven development: by example - Beck, K, Addison-Wesley , 2003. ISBN: 0321146530 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;EU ;Universitat Politecnica de Catalunya;Computer Science;Bachelor;https://www.fib.upc.edu/es/estudios/grados/grado-en-ingenieria-informatica;Software Architecture;3;https://www.fib.upc.edu/es/estudios/grados/grado-en-ingenieria-informatica/plan-de-estudios/asignaturas/AS;CS;6;both;60;30;30;NSt;Exercises,Discussion;Spanish;Test-driven development: by example - Beck, K, Addison-Wesley , 2003. ISBN: 0321146530 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;EU ;Universitat Politecnica de Catalunya;Computer Science;Bachelor;https://www.fib.upc.edu/es/estudios/grados/grado-en-ingenieria-informatica;Software Architecture;3;https://www.fib.upc.edu/es/estudios/grados/grado-en-ingenieria-informatica/plan-de-estudios/asignaturas/AS;CS;6;both;60;30;30;NSt;Exercises,Discussion;Spanish;Test-driven development: by example - Beck, K, Addison-Wesley , 2003. ISBN: 0321146530 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Italy;EU;Verona univr;Computer Science and Engineering;Master;https://www.corsi.univr.it/?ent=cs&id=417&menu=Home&lang=it;Software Engineering Fundamentals;1;https://www.corsi.univr.it/?ent=cs&aa=2022%2F2023&codiceCs=S71&codins=4S008899&discr=&discrCd=&id=417&menu=Studiare&tab=Insegnamenti&lang=it;CE;6;Both ;48;40;8;NSt;Homework,Project,Discussion;Italian;;X;;;;;;;;;;;;;;X;X;X;X;;;;;;;x;;;;;;;;;;;;;X;X;X;;;;X;;;;;;;;;;;;;;;;;;;
Italy;EU;Genova unige;Computer Science;Master;https://servizionline.unige.it/unige/stampa_manifesto/MF/2020/10852.html;Functional and Security Testing Techniques;1;https://corsi.unige.it/en/off.f/2020/ins/43801;CS;6;Both;48;N/A;N/A;NSt;Homework,Discussion;English;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;X;;;;;;X;x;X;;X;;;x;X;;;;;;;;;;;;;X;;;;;;
Italy;EU;Genova unige;Computer Engineering;Master;https://servizionline.unige.it/unige/stampa_manifesto/MF/2021/11160.html;Software Engineering;1;https://corsi.unige.it/en/off.f/2021/ins/51469?codcla=11160;CE;9;Both;72;N/A;N/A;NSt;Homework,Discussion;English;;X;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
Italy;EU;Milano polimi;Computer Engineering;Master;https://www.polimi.it/corsi/corsi-di-laurea-magistrale/M/2022-ing-ind-inf-magord-270-mi-481-computer-science-and-engineering-ingegneria-informatica;Software Engineering 2;1;https://www4.ceda.polimi.it/manifesti/manifesti/controller/ManifestoPublic.do?EVN_DETTAGLIO_RIGA_MANIFESTO=evento&aa=2022&k_cf=225&k_corso_la=481&k_indir=T2A&codDescr=054443&lang=IT&semestre=1&anno_corso=1&idItemOfferta=161169&idRiga=286941;CE;5;Both;50;30;20;NSt;Project,Open Questions,Discussion;English;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
Italy;EU;Torino Politecnico polito;Computer Engineering;Master;https://didattica.polito.it/pls/portal30/sviluppo.offerta_formativa_2019.vis?p_a_acc=2023&p_sdu=37&p_cds=18;Software Engineering;1;https://didattica.polito.it/pls/portal30/gap.pkg_guide.viewGap?p_cod_ins=05BIDOV&p_a_acc=2023&p_header=S&p_lang=&multi=N;CE;8;Both ;80;N/A;N/A;NSt;Open questions;Italian;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;?;;;;;;?;;;;;;;;;;;;;;;;;;;
Italy;EU;Napoli unina;Computer Science;Master;https://informatica.dieti.unina.it/index.php/it/laurea-magistrale/insegnamenti;Software Project Management and Evolution;1;https://informatica.dieti.unina.it/index.php/it/laurea-magistrale/insegnamenti/42-laurea-magistrale/insegnamenti-lm/76-software-project-management-and-evolution;CS;6;Both;48;N/A;N/A;NSt;Project,Discussion;Italian;;X;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;X;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;
Italy;EU;Milano polimi;Computer Engineering;Master;https://www.polimi.it/corsi/corsi-di-laurea-magistrale/M/2022-ing-ind-inf-magord-270-mi-481-computer-science-and-engineering-ingegneria-informatica;Software Engineering 2;1;https://www4.ceda.polimi.it/manifesti/manifesti/controller/ManifestoPublic.do?EVN_DETTAGLIO_RIGA_MANIFESTO=evento&aa=2022&k_cf=225&k_corso_la=481&k_indir=T2A&codDescr=054443&lang=IT&semestre=1&anno_corso=1&idItemOfferta=161169&idRiga=286941;CE;5;Both;50;30;20;NSt;Project,Open Questions,Discussion;English;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
